Education,JoiningYear,City,PaymentTier,Age,Gender,EverBenched,ExperienceInCurrentDomain,LeaveOrNot,Salary,,,,,,,
Bachelors,2013,Bangalore,2,24,Female,No,0,1,167631,,,,,,,
Bachelors,2014,Pune,1,36,Male,No,4,0,163560,,,,,,,
Bachelors,2016,Bangalore,3,42,Male,No,1,1,190765,,,,,,,
Bachelors,2018,Bangalore,3,28,Male,No,4,0,54179,,,,,,,
Bachelors,2013,Bangalore,3,30,Male,No,0,0,178847,,,,,,,
Bachelors,2014,New Delhi,3,26,Female,No,2,0,90108,,,,,,,
Bachelors,2015,Bangalore,3,42,Female,No,2,1,90531,,,,,,,
Bachelors,2017,Bangalore,3,25,Female,No,1,1,76636,,,,,,,
Bachelors,2018,Bangalore,3,33,Male,No,4,0,186200,,,,,,,
Bachelors,2017,Bangalore,3,27,Female,No,3,0,43867,,,,,,,
Bachelors,2014,Pune,3,29,Male,No,5,0,181793,,,,,,,
Bachelors,2014,Bangalore,1,27,Female,No,3,1,145235,,,,,,,
Bachelors,2017,New Delhi,2,42,Male,No,0,1,113256,,,,,,,
Bachelors,2015,Bangalore,3,25,Female,No,1,0,64143,,,,,,,
Bachelors,2014,Bangalore,1,25,Female,No,1,0,116629,,,,,,,
Bachelors,2017,Bangalore,3,41,Male,No,1,0,73734,,,,,,,
Bachelors,2012,Bangalore,3,39,Male,No,1,0,48736,,,,,,,
Bachelors,2015,New Delhi,1,40,Male,No,2,0,174774,,,,,,,
Bachelors,2017,Pune,3,33,Female,No,0,1,73526,,,,,,,
Bachelors,2013,Bangalore,3,40,Male,No,5,0,176675,,,,,,,
Bachelors,2016,Bangalore,3,27,Female,No,3,0,179017,,,,,,,
Bachelors,2017,Bangalore,3,29,Female,Yes,5,1,106628,,,,,,,
Bachelors,2015,Bangalore,3,38,Male,No,0,1,149878,,,,,,,
Bachelors,2016,Pune,2,29,Female,No,5,1,51878,,,,,,,
Bachelors,2017,Pune,2,34,Female,No,4,0,120631,,,,,,,
Bachelors,2015,Pune,2,30,Male,No,4,0,180107,,,,,,,
Bachelors,2014,Bangalore,3,34,Male,No,2,0,114481,,,,,,,
Bachelors,2012,New Delhi,3,32,Male,No,0,1,122950,,,,,,,
Bachelors,2018,Bangalore,3,24,Male,No,0,0,52767,,,,,,,
Bachelors,2015,New Delhi,3,36,Female,No,5,0,147641,,,,,,,
Bachelors,2017,New Delhi,2,38,Male,No,2,0,160043,,,,,,,
Bachelors,2013,New Delhi,3,41,Male,No,3,1,181774,,,,,,,
Bachelors,2014,Bangalore,3,28,Male,No,4,1,129774,,,,,,,
Bachelors,2018,Bangalore,3,33,Female,No,0,0,156194,,,,,,,
Bachelors,2016,Bangalore,3,29,Male,No,5,1,95673,,,,,,,
Bachelors,2014,Bangalore,3,31,Female,No,0,0,51015,,,,,,,
Bachelors,2014,Bangalore,3,26,Female,No,2,1,93650,,,,,,,
Bachelors,2015,Bangalore,3,27,Male,No,3,1,168251,,,,,,,
Bachelors,2012,Pune,3,27,Male,No,3,0,51063,,,,,,,
Bachelors,2013,Pune,3,28,Female,No,4,1,50155,,,,,,,
Bachelors,2017,New Delhi,3,30,Female,Yes,1,1,180294,,,,,,,
Bachelors,2015,Pune,2,30,Male,No,2,0,117642,,,,,,,
Bachelors,2017,New Delhi,3,30,Female,No,3,1,72305,,,,,,,
Bachelors,2015,Pune,1,27,Male,No,3,0,98189,,,,,,,
Bachelors,2015,New Delhi,3,30,Male,No,1,0,60918,,,,,,,
Bachelors,2017,Bangalore,3,27,Male,No,3,0,121587,,,,,,,
Bachelors,2013,Pune,3,27,Female,No,3,1,43010,,,,,,,
Bachelors,2015,Bangalore,2,29,Female,No,5,0,118457,,,,,,,
Bachelors,2015,Bangalore,3,29,Female,No,5,1,82965,,,,,,,
Bachelors,2017,Pune,2,29,Male,No,5,1,166892,,,,,,,
Bachelors,2013,Bangalore,3,27,Male,No,3,0,92758,,,,,,,
Bachelors,2012,Bangalore,3,30,Male,No,2,0,92220,,,,,,,
Bachelors,2017,New Delhi,2,28,Female,No,4,1,152654,,,,,,,
Bachelors,2014,Pune,1,30,Male,No,2,0,184896,,,,,,,
Bachelors,2015,Bangalore,3,28,Male,No,4,0,197537,,,,,,,
Bachelors,2013,New Delhi,3,28,Female,No,4,0,141518,,,,,,,
Bachelors,2017,Bangalore,3,27,Male,No,3,0,73862,,,,,,,
Bachelors,2017,New Delhi,2,30,Female,No,3,0,93967,,,,,,,
Bachelors,2012,Bangalore,1,28,Male,No,4,0,52237,,,,,,,
Bachelors,2015,New Delhi,3,27,Female,No,3,0,111673,,,,,,,
Bachelors,2015,New Delhi,3,28,Male,No,4,1,160623,,,,,,,
Bachelors,2012,Bangalore,3,30,Female,No,3,0,42005,,,,,,,
Bachelors,2014,Bangalore,3,26,Male,No,2,0,103160,,,,,,,
Bachelors,2014,Pune,3,30,Male,No,1,0,153790,,,,,,,
Bachelors,2013,Bangalore,3,29,Male,No,5,0,129625,,,,,,,
Bachelors,2015,Pune,3,27,Male,No,3,1,48944,,,,,,,
Bachelors,2018,Bangalore,3,26,Male,No,2,1,60508,,,,,,,
Bachelors,2013,Pune,1,28,Female,No,4,0,67251,,,,,,,
Bachelors,2017,Bangalore,3,30,Male,No,1,1,112715,,,,,,,
Bachelors,2013,Bangalore,3,29,Male,No,5,0,169245,,,,,,,
Bachelors,2016,New Delhi,3,28,Male,No,4,0,170895,,,,,,,
Bachelors,2017,Bangalore,3,26,Male,No,2,0,122226,,,,,,,
Bachelors,2017,New Delhi,2,28,Male,No,4,1,109394,,,,,,,
Bachelors,2018,New Delhi,3,27,Female,No,3,1,54402,,,,,,,
Bachelors,2017,New Delhi,1,30,Male,No,2,0,129836,,,,,,,
Bachelors,2012,Pune,3,30,Male,No,2,0,162159,,,,,,,
Bachelors,2017,New Delhi,3,28,Male,No,4,0,119321,,,,,,,
Bachelors,2013,Bangalore,3,29,Male,No,5,1,155442,,,,,,,
Bachelors,2013,New Delhi,3,26,Female,No,2,1,114257,,,,,,,
Bachelors,2017,Pune,2,30,Female,No,2,0,186280,,,,,,,
Bachelors,2017,New Delhi,3,28,Male,No,4,0,154810,,,,,,,
Bachelors,2016,Bangalore,3,29,Female,No,5,0,85420,,,,,,,
Bachelors,2013,Bangalore,3,30,Female,No,3,0,94986,,,,,,,
Bachelors,2015,Pune,2,27,Male,No,3,0,172098,,,,,,,
Bachelors,2014,Bangalore,3,30,Male,No,1,0,133332,,,,,,,
Bachelors,2016,Pune,3,27,Male,No,3,1,61924,,,,,,,
Bachelors,2013,Bangalore,1,28,Male,No,4,0,149262,,,,,,,
Bachelors,2015,Pune,3,29,Female,No,5,1,97904,,,,,,,
Bachelors,2018,New Delhi,3,26,Male,No,2,1,130014,,,,,,,
Bachelors,2016,Bangalore,3,26,Female,No,2,1,149575,,,,,,,
Bachelors,2012,Pune,2,28,Male,No,4,0,173226,,,,,,,
Bachelors,2014,Bangalore,3,26,Female,No,2,1,165272,,,,,,,
Bachelors,2016,Pune,2,28,Female,No,4,0,190139,,,,,,,
Bachelors,2012,New Delhi,3,30,Female,No,3,0,182521,,,,,,,
Bachelors,2013,Bangalore,3,26,Male,No,2,1,114426,,,,,,,
Bachelors,2012,Bangalore,3,27,Male,No,3,1,101553,,,,,,,
Bachelors,2015,Bangalore,3,30,Male,No,3,0,181646,,,,,,,
Bachelors,2016,Bangalore,3,30,Female,No,3,0,46945,,,,,,,
Bachelors,2014,Bangalore,3,28,Female,No,4,0,84318,,,,,,,
Bachelors,2013,Bangalore,3,26,Female,No,2,1,102384,,,,,,,
Bachelors,2017,New Delhi,3,27,Male,No,3,1,167631,,,,,,,
Bachelors,2016,Bangalore,3,27,Male,No,3,0,163560,,,,,,,
Bachelors,2015,Bangalore,3,29,Male,No,5,0,190765,,,,,,,
Bachelors,2014,Bangalore,3,26,Male,No,2,0,54179,,,,,,,
Bachelors,2012,Bangalore,3,27,Male,No,3,0,178847,,,,,,,
Bachelors,2014,Bangalore,3,30,Male,No,3,0,90108,,,,,,,
Bachelors,2015,Bangalore,3,28,Male,No,4,1,90531,,,,,,,
Bachelors,2015,New Delhi,3,30,Female,No,1,0,76636,,,,,,,
Bachelors,2014,New Delhi,3,27,Male,No,3,0,186200,,,,,,,
Bachelors,2015,Pune,3,30,Female,No,2,0,43867,,,,,,,
Bachelors,2015,Pune,2,29,Female,No,5,0,181793,,,,,,,
Bachelors,2014,Bangalore,3,28,Male,No,4,0,145235,,,,,,,
Bachelors,2013,Bangalore,3,28,Male,No,4,0,113256,,,,,,,
Bachelors,2016,Bangalore,3,27,Male,No,3,0,64143,,,,,,,
Bachelors,2012,Bangalore,3,27,Male,No,3,0,116629,,,,,,,
Bachelors,2015,Bangalore,3,26,Female,No,2,0,73734,,,,,,,
Bachelors,2014,New Delhi,3,29,Male,No,5,1,48736,,,,,,,
Bachelors,2012,Bangalore,3,29,Male,No,5,1,174774,,,,,,,
Bachelors,2017,New Delhi,3,29,Male,No,5,0,73526,,,,,,,
Bachelors,2015,Pune,3,26,Male,No,2,1,176675,,,,,,,
Bachelors,2018,Bangalore,3,29,Male,No,5,1,179017,,,,,,,
Bachelors,2017,New Delhi,3,30,Female,No,1,1,106628,,,,,,,
Bachelors,2017,New Delhi,2,26,Male,No,2,1,149878,,,,,,,
Bachelors,2017,Pune,2,27,Female,No,3,1,51878,,,,,,,
Bachelors,2016,New Delhi,3,30,Female,No,1,0,120631,,,,,,,
Bachelors,2015,New Delhi,3,28,Male,No,4,0,180107,,,,,,,
Bachelors,2017,New Delhi,2,29,Male,No,5,0,114481,,,,,,,
Bachelors,2013,Bangalore,2,28,Male,No,4,0,122950,,,,,,,
Bachelors,2015,Bangalore,3,28,Male,No,4,0,52767,,,,,,,
Bachelors,2015,Bangalore,3,30,Male,No,1,0,147641,,,,,,,
Bachelors,2013,Bangalore,3,29,Female,No,5,0,160043,,,,,,,
Bachelors,2015,Bangalore,3,27,Female,No,3,0,181774,,,,,,,
Bachelors,2013,New Delhi,3,30,Male,No,1,0,129774,,,,,,,
Bachelors,2013,Pune,3,26,Male,No,2,0,156194,,,,,,,
Bachelors,2017,Pune,3,29,Female,No,5,0,95673,,,,,,,
Bachelors,2013,New Delhi,3,30,Male,Yes,2,0,51015,,,,,,,
Bachelors,2015,Bangalore,3,30,Male,No,3,0,93650,,,,,,,
Bachelors,2015,Pune,3,27,Female,No,3,1,168251,,,,,,,
Bachelors,2014,Pune,2,27,Male,No,3,0,51063,,,,,,,
Bachelors,2014,Bangalore,3,29,Male,No,5,0,50155,,,,,,,
Bachelors,2017,Bangalore,3,28,Female,No,4,1,180294,,,,,,,
Bachelors,2014,Pune,2,26,Male,No,2,0,117642,,,,,,,
Bachelors,2013,New Delhi,3,28,Female,No,4,1,72305,,,,,,,
Bachelors,2015,Pune,2,27,Male,No,3,0,98189,,,,,,,
Bachelors,2017,Bangalore,3,29,Male,No,5,1,60918,,,,,,,
Bachelors,2013,Pune,2,30,Male,No,2,0,121587,,,,,,,
Bachelors,2017,Bangalore,3,27,Male,No,3,1,43010,,,,,,,
Bachelors,2012,Bangalore,3,29,Male,No,5,0,118457,,,,,,,
Bachelors,2017,Bangalore,3,29,Female,No,5,0,82965,,,,,,,
Bachelors,2017,Pune,2,30,Female,No,2,1,166892,,,,,,,
Bachelors,2013,Bangalore,2,30,Male,No,1,1,92758,,,,,,,
Bachelors,2017,Pune,3,29,Female,No,5,1,92220,,,,,,,
Bachelors,2018,Bangalore,3,27,Female,No,3,0,152654,,,,,,,
Bachelors,2014,New Delhi,3,29,Male,No,5,1,184896,,,,,,,
Bachelors,2017,New Delhi,3,28,Male,No,4,1,197537,,,,,,,
Bachelors,2013,New Delhi,3,27,Female,No,3,1,141518,,,,,,,
Bachelors,2013,Pune,2,28,Male,No,4,1,73862,,,,,,,
Bachelors,2012,New Delhi,3,27,Male,No,3,1,93967,,,,,,,
Bachelors,2016,Bangalore,3,28,Male,No,4,0,52237,,,,,,,
Bachelors,2013,Pune,2,30,Female,No,2,1,111673,,,,,,,
Bachelors,2018,Bangalore,3,29,Male,No,5,0,160623,,,,,,,
Bachelors,2013,Bangalore,3,26,Female,Yes,2,1,42005,,,,,,,
Bachelors,2015,Pune,1,30,Male,No,2,0,103160,,,,,,,
Bachelors,2013,Pune,3,29,Female,Yes,5,1,153790,,,,,,,
Bachelors,2015,Pune,2,27,Male,No,3,1,129625,,,,,,,
Bachelors,2018,Bangalore,3,29,Female,No,5,1,48944,,,,,,,
Bachelors,2014,Pune,2,26,Male,No,2,0,60508,,,,,,,
Bachelors,2013,Pune,3,26,Male,No,2,0,67251,,,,,,,
Bachelors,2014,Pune,3,27,Female,No,3,0,112715,,,,,,,
Bachelors,2015,New Delhi,2,28,Male,Yes,4,0,169245,,,,,,,
Bachelors,2014,Bangalore,3,26,Male,No,2,1,170895,,,,,,,
Bachelors,2018,Bangalore,3,27,Female,No,3,0,122226,,,,,,,
Bachelors,2015,Pune,2,26,Male,No,2,0,109394,,,,,,,
Bachelors,2015,Bangalore,3,26,Female,No,2,0,54402,,,,,,,
Bachelors,2014,New Delhi,3,28,Female,No,4,1,129836,,,,,,,
Bachelors,2017,Bangalore,2,30,Male,No,1,0,162159,,,,,,,
Bachelors,2012,New Delhi,3,28,Female,No,4,0,119321,,,,,,,
Bachelors,2017,Pune,2,27,Male,No,3,0,155442,,,,,,,
Bachelors,2016,Pune,3,26,Male,No,2,1,114257,,,,,,,
Bachelors,2017,New Delhi,3,30,Female,No,3,1,186280,,,,,,,
Bachelors,2013,Pune,2,27,Female,No,3,1,154810,,,,,,,
Bachelors,2014,Bangalore,3,27,Male,No,3,0,85420,,,,,,,
Bachelors,2014,Bangalore,3,26,Female,No,2,1,94986,,,,,,,
Bachelors,2014,Pune,2,30,Male,No,2,1,172098,,,,,,,
Bachelors,2015,Bangalore,3,29,Male,No,5,0,133332,,,,,,,
Bachelors,2015,Bangalore,3,28,Male,No,4,0,61924,,,,,,,
Bachelors,2016,Pune,3,28,Female,No,4,1,149262,,,,,,,
Bachelors,2015,New Delhi,3,30,Female,No,2,0,97904,,,,,,,
Bachelors,2016,Bangalore,1,27,Male,Yes,3,0,130014,,,,,,,
Bachelors,2014,Bangalore,3,29,Male,No,5,0,149575,,,,,,,
Bachelors,2014,Bangalore,3,30,Male,No,2,0,173226,,,,,,,
Bachelors,2017,Bangalore,3,26,Female,Yes,2,1,165272,,,,,,,
Bachelors,2018,New Delhi,3,27,Male,No,3,0,190139,,,,,,,
Bachelors,2017,Pune,2,26,Female,No,2,1,182521,,,,,,,
Bachelors,2018,Pune,2,30,Female,No,1,0,114426,,,,,,,
Bachelors,2017,New Delhi,2,29,Female,No,5,0,101553,,,,,,,
Bachelors,2013,New Delhi,1,29,Female,No,5,0,181646,,,,,,,
Bachelors,2017,New Delhi,2,30,Male,No,1,0,46945,,,,,,,
Bachelors,2017,Bangalore,3,29,Female,No,5,1,84318,,,,,,,
Bachelors,2016,Pune,2,26,Male,No,2,1,102384,,,,,,,
Bachelors,2018,Bangalore,3,28,Male,No,4,0,167631,,,,,,,
Bachelors,2012,Pune,1,28,Male,No,4,0,163560,,,,,,,
Bachelors,2016,Bangalore,3,29,Male,No,5,0,190765,,,,,,,
Bachelors,2016,New Delhi,1,28,Female,No,4,0,54179,,,,,,,
Bachelors,2015,New Delhi,3,29,Male,Yes,5,0,178847,,,,,,,
Bachelors,2012,Bangalore,3,26,Male,Yes,2,1,90108,,,,,,,
Bachelors,2013,Bangalore,3,28,Female,No,4,1,90531,,,,,,,
Bachelors,2018,Bangalore,3,28,Female,No,4,1,76636,,,,,,,
Bachelors,2017,Pune,2,30,Female,No,2,0,186200,,,,,,,
Bachelors,2017,New Delhi,2,30,Male,No,1,0,43867,,,,,,,
Bachelors,2013,Pune,3,27,Male,No,3,0,181793,,,,,,,
Bachelors,2013,New Delhi,3,30,Female,Yes,1,1,145235,,,,,,,
Bachelors,2018,Bangalore,3,29,Female,No,5,1,113256,,,,,,,
Bachelors,2013,Pune,3,27,Male,No,3,0,64143,,,,,,,
Bachelors,2012,Bangalore,3,30,Male,No,1,0,116629,,,,,,,
Bachelors,2014,Bangalore,3,30,Female,No,3,0,73734,,,,,,,
Bachelors,2017,New Delhi,3,30,Male,Yes,2,0,48736,,,,,,,
Bachelors,2017,New Delhi,2,27,Male,No,3,0,174774,,,,,,,
Bachelors,2014,Bangalore,3,28,Male,No,4,0,73526,,,,,,,
Bachelors,2017,New Delhi,3,27,Female,No,3,1,176675,,,,,,,
Bachelors,2015,Pune,1,29,Male,No,5,0,179017,,,,,,,
Bachelors,2013,New Delhi,3,26,Female,No,2,0,106628,,,,,,,
Bachelors,2014,Bangalore,3,29,Female,No,5,0,149878,,,,,,,
Bachelors,2017,New Delhi,2,28,Male,No,4,1,51878,,,,,,,
Bachelors,2018,Bangalore,3,28,Male,No,4,0,120631,,,,,,,
Bachelors,2012,Bangalore,3,29,Female,No,5,1,180107,,,,,,,
Bachelors,2015,Pune,3,28,Male,No,4,1,114481,,,,,,,
Bachelors,2018,Bangalore,3,26,Male,No,2,0,122950,,,,,,,
Bachelors,2016,Bangalore,3,27,Female,No,3,0,52767,,,,,,,
Bachelors,2017,New Delhi,2,30,Male,No,1,0,147641,,,,,,,
Bachelors,2017,New Delhi,2,29,Female,No,5,0,160043,,,,,,,
Bachelors,2012,New Delhi,3,28,Male,No,4,1,181774,,,,,,,
Bachelors,2013,New Delhi,3,28,Female,Yes,4,1,129774,,,,,,,
Bachelors,2015,Bangalore,3,30,Male,No,2,0,156194,,,,,,,
Bachelors,2014,Pune,3,26,Female,No,2,1,95673,,,,,,,
Bachelors,2016,Bangalore,3,30,Male,No,3,0,51015,,,,,,,
Bachelors,2012,Bangalore,3,29,Male,No,5,0,93650,,,,,,,
Bachelors,2012,Bangalore,3,28,Male,No,4,0,168251,,,,,,,
Bachelors,2013,Bangalore,3,30,Female,No,1,0,51063,,,,,,,
Bachelors,2014,New Delhi,3,29,Female,Yes,5,0,50155,,,,,,,
Bachelors,2014,New Delhi,3,28,Female,Yes,4,1,180294,,,,,,,
Bachelors,2015,Pune,3,28,Male,No,4,1,117642,,,,,,,
Bachelors,2014,New Delhi,3,27,Female,No,3,0,72305,,,,,,,
Bachelors,2015,New Delhi,3,27,Male,No,3,0,98189,,,,,,,
Bachelors,2015,New Delhi,3,29,Male,No,5,0,60918,,,,,,,
Bachelors,2012,Pune,3,26,Female,No,2,0,121587,,,,,,,
Bachelors,2017,New Delhi,2,26,Male,No,2,0,43010,,,,,,,
Bachelors,2016,Bangalore,3,30,Female,No,2,0,118457,,,,,,,
Bachelors,2015,Pune,3,26,Female,No,2,0,82965,,,,,,,
Bachelors,2017,Bangalore,3,27,Male,No,3,0,166892,,,,,,,
Bachelors,2017,Pune,3,27,Male,No,3,0,92758,,,,,,,
Bachelors,2017,Bangalore,1,30,Female,No,2,0,92220,,,,,,,
Bachelors,2015,Pune,3,28,Male,No,4,0,152654,,,,,,,
Bachelors,2017,Pune,3,26,Male,No,2,0,184896,,,,,,,
Bachelors,2014,Pune,3,27,Female,No,3,1,197537,,,,,,,
Bachelors,2014,Pune,3,28,Female,No,4,1,141518,,,,,,,
Bachelors,2018,Pune,3,29,Male,No,5,0,73862,,,,,,,
Bachelors,2016,Bangalore,3,30,Female,No,2,0,93967,,,,,,,
Bachelors,2017,Bangalore,3,30,Male,No,2,0,52237,,,,,,,
Bachelors,2012,Pune,3,26,Female,No,2,1,111673,,,,,,,
Bachelors,2012,New Delhi,3,28,Male,No,4,0,160623,,,,,,,
Bachelors,2013,Bangalore,3,28,Female,Yes,4,0,42005,,,,,,,
Bachelors,2015,New Delhi,3,30,Male,No,1,0,103160,,,,,,,
Bachelors,2017,Bangalore,3,27,Male,Yes,3,1,153790,,,,,,,
Bachelors,2018,Pune,3,26,Male,No,2,0,129625,,,,,,,
Bachelors,2017,New Delhi,3,30,Male,No,2,1,48944,,,,,,,
Bachelors,2013,Bangalore,3,26,Male,No,2,0,60508,,,,,,,
Bachelors,2017,Bangalore,3,27,Female,No,3,1,67251,,,,,,,
Bachelors,2017,New Delhi,2,30,Female,No,1,1,112715,,,,,,,
Bachelors,2013,Pune,2,26,Female,No,2,0,169245,,,,,,,
Bachelors,2015,Bangalore,3,28,Male,No,4,0,170895,,,,,,,
Bachelors,2016,Pune,3,29,Female,No,5,1,122226,,,,,,,
Bachelors,2015,New Delhi,2,26,Female,No,2,1,109394,,,,,,,
Bachelors,2018,Bangalore,3,29,Female,No,5,0,54402,,,,,,,
Bachelors,2013,Bangalore,3,26,Male,Yes,2,0,129836,,,,,,,
Bachelors,2013,Bangalore,3,26,Female,No,2,0,162159,,,,,,,
Bachelors,2013,Bangalore,3,29,Male,No,5,0,119321,,,,,,,
Bachelors,2013,Bangalore,3,28,Female,No,4,0,155442,,,,,,,
Bachelors,2017,Bangalore,3,26,Female,No,2,0,114257,,,,,,,
Bachelors,2015,Bangalore,3,26,Female,No,2,1,186280,,,,,,,
Bachelors,2012,Pune,3,26,Male,Yes,2,1,154810,,,,,,,
Bachelors,2016,Bangalore,3,30,Male,No,3,0,85420,,,,,,,
Bachelors,2012,Bangalore,3,29,Male,No,5,0,94986,,,,,,,
Bachelors,2017,New Delhi,2,29,Female,No,5,1,172098,,,,,,,
Bachelors,2012,Pune,2,29,Male,No,5,0,133332,,,,,,,
Bachelors,2017,Pune,2,26,Male,No,2,1,61924,,,,,,,
Bachelors,2017,Pune,2,28,Female,No,4,1,149262,,,,,,,
Bachelors,2016,Pune,1,28,Female,No,4,1,97904,,,,,,,
Bachelors,2015,Pune,3,27,Male,No,3,1,130014,,,,,,,
Bachelors,2016,Bangalore,3,28,Male,No,4,0,149575,,,,,,,
Bachelors,2012,Pune,3,30,Male,No,2,0,173226,,,,,,,
Bachelors,2017,Bangalore,3,27,Male,No,3,0,165272,,,,,,,
Bachelors,2012,Bangalore,3,27,Female,Yes,3,0,190139,,,,,,,
Bachelors,2017,Bangalore,3,28,Male,No,4,0,182521,,,,,,,
Bachelors,2017,Pune,2,30,Male,No,1,1,114426,,,,,,,
Bachelors,2017,Pune,3,27,Female,No,3,1,101553,,,,,,,
Bachelors,2015,Pune,2,28,Female,No,4,0,181646,,,,,,,
Bachelors,2017,New Delhi,2,28,Male,No,4,0,46945,,,,,,,
Bachelors,2017,New Delhi,2,29,Male,No,5,0,84318,,,,,,,
Bachelors,2016,Bangalore,3,29,Female,No,5,0,102384,,,,,,,
Bachelors,2017,New Delhi,3,26,Female,No,2,0,167631,,,,,,,
Bachelors,2015,New Delhi,3,28,Female,No,4,1,163560,,,,,,,
Bachelors,2017,Bangalore,1,30,Female,No,2,0,190765,,,,,,,
Bachelors,2017,New Delhi,1,26,Male,No,2,0,54179,,,,,,,
Bachelors,2015,Bangalore,3,27,Female,No,3,1,178847,,,,,,,
Bachelors,2015,Pune,2,27,Female,No,3,0,90108,,,,,,,
